SchoolYear,NameHospital,Sex,EpiUnderweight,EpiHealthyWeight,EpiOverweight,EpiObese,EpiOverweightAndObese,ValidCounts,UnvalidCounts,TotalCounts
2021,Fife,Female,13,1205,183,159,342,1560,342,1902
2021,Fife,Male,37,1255,190,142,332,1624,332,1956
2021,Tayside,Female,12,1145,251,192,443,1600,443,2043
2021,Tayside,Male,22,1219,216,220,436,1677,436,2113
2021,Greater Glasgow and Clyde,Female,61,4410,688,656,1344,5815,1344,7159
2021,Greater Glasgow and Clyde,Male,107,4610,696,737,1433,6150,1433,7583
2021,Lanarkshire,Female,41,3471,630,564,1194,4706,1194,5900
2021,Lanarkshire,Male,65,3693,591,655,1246,5004,1246,6250
2022,Ayrshire and Arran,Female,10,1221,180,163,343,1574,343,1917
2022,Ayrshire and Arran,Male,17,1266,222,150,372,1655,372,2027
2022,Borders,Female,4,362,64,45,109,475,109,584
2022,Borders,Male,8,361,52,46,98,467,98,565
2022,Dumfries and Galloway,Female,3,460,88,75,163,626,163,789
2022,Dumfries and Galloway,Male,8,465,89,76,165,638,165,803
2022,Forth Valley,Female,10,1022,182,128,310,1342,310,1652
2022,Forth Valley,Male,21,1089,141,162,303,1413,303,1716
2022,Grampian,Female,16,2097,279,262,541,2654,541,3195
2022,Grampian,Male,47,2173,306,275,581,2801,581,3382
2022,Highland,Female,12,1037,161,156,317,1366,317,1683
2022,Highland,Male,21,1069,195,164,359,1449,359,1808
2022,Lothian,Female,39,3008,424,343,767,3814,767,4581
2022,Lothian,Male,109,3108,430,390,820,4037,820,4857
2022,Orkney,Female,0,63,18,7,25,88,25,113
2022,Orkney,Male,0,58,11,9,20,78,20,98
2022,Shetland,Female,0,86,10,8,18,104,18,122
2022,Shetland,Male,3,77,8,12,20,100,20,120
2022,Western Isles,Female,0,61,10,12,22,83,22,105
2022,Western Isles,Male,0,66,15,16,31,97,31,128
2022,Fife,Female,7,1157,171,161,332,1496,332,1828
2022,Fife,Male,26,1175,164,163,327,1528,327,1855
2022,Tayside,Female,15,1282,209,181,390,1687,390,2077
2022,Tayside,Male,19,1345,206,162,368,1732,368,2100
2022,Greater Glasgow and Clyde,Female,64,4418,651,607,1258,5740,1258,6998
2022,Greater Glasgow and Clyde,Male,125,4564,610,695,1305,5994,1305,7299
2022,Lanarkshire,Female,14,2584,401,406,807,3405,807,4212
2022,Lanarkshire,Male,43,2660,410,390,800,3503,800,4303
2023,Ayrshire and Arran,Female,10,1133,183,167,350,1493,350,1843
2023,Ayrshire and Arran,Male,20,1197,196,182,378,1595,378,1973
2023,Borders,Female,0,266,32,30,62,328,62,390
2023,Borders,Male,5,282,45,42,87,374,87,461
2023,Dumfries and Galloway,Female,7,419,66,58,124,550,124,674
2023,Dumfries and Galloway,Male,8,410,60,68,128,546,128,674
2023,Forth Valley,Female,20,1032,132,116,248,1300,248,1548
2023,Forth Valley,Male,54,1068,145,132,277,1399,277,1676
2023,Grampian,Female,12,1971,323,218,541,2524,541,3065
2023,Grampian,Male,22,2079,292,268,560,2661,560,3221
2023,Highland,Female,4,944,153,137,290,1238,290,1528
2023,Highland,Male,18,998,175,143,318,1334,318,1652
2023,Lothian,Female,53,3064,426,311,737,3854,737,4591
2023,Lothian,Male,101,3153,420,353,773,4027,773,4800
2023,Orkney,Female,1,65,24,8,32,98,32,130
2023,Orkney,Male,0,64,17,11,28,92,28,120
2023,Shetland,Female,1,66,19,15,34,101,34,135
2023,Shetland,Male,3,88,8,13,21,112,21,133
2023,Western Isles,Female,1,59,10,5,15,75,15,90
2023,Western Isles,Male,1,66,15,11,26,93,26,119
2023,Fife,Female,13,1130,208,174,382,1525,382,1907
2023,Fife,Male,20,1158,189,170,359,1537,359,1896
2023,Tayside,Female,10,1190,204,215,419,1619,419,2038
2023,Tayside,Male,15,1201,216,178,394,1610,394,2004
2023,Greater Glasgow and Clyde,Female,34,4097,595,561,1156,5287,1156,6443
2023,Greater Glasgow and Clyde,Male,89,4152,615,641,1256,5497,1256,6753
2023,Lanarkshire,Female,14,2255,381,330,711,2980,711,3691
2023,Lanarkshire,Male,31,2280,348,381,729,3040,729,3769
